Tabelle 1
Dimension;Header;Question_Text;Question_Type;Weight;Level 1;Level 2;Level 3;Level 4;Level 5;Level 6;Level 7;Level 8;Level 9;;;;;;;;;;;;
Strategy & Business Vision;Leadership Alignment;How is AI prioritized in management meetings?;Statement;4,50 %;Not a topic / Ignored;Rare mention in meetings;Occasional discussion;Regular agenda item;Core strategic pillar;;;;;;;;;;;;;;;;
;Clarity;Does a documented AI strategy or roadmap exist?;Slider;4,50 %;None / No plan;Rough ideas shared;High-level draft exists;Formalized document;Approved & detailed;;;;;;;;;;;;;;;;
;Budget Allocation;How is AI funding and investment handled?;Choice;4 %;No budget available;Case-by-case funding;Ad-hoc project funds;Dedicated Dept. budget;Fixed annual AI budget;;;;;;;;;;;;;;;;
;Competitive Ambition;What is your goal regarding AI vs. competitors?;Choice;3,50 %;Avoidance / Refusal;Late adopter;Fast Follower;Proactive innovator;Market Leader;;;;;;;;;;;;;;;;
People & Culture;AI Mindset;How do employees generally react to the topic of AI?;Slider;4 %;Fear / Resistance;Skeptical / Passive;Neutral / Cautious;Interested / Open;Proactive excitement;;;;;;;;;;;;;;;;
;AI Competencies;To what extent are AI capabilities and technical literacy established across your workforce? E.g. expertise in machine learning and NLP, as well as general AI literacy for non-technical staff.;Statement;4,50 %;Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.;"Isolated Proficiency - AI knowledge is siloed within a few individuals; significant skill gaps across most departments currently hinder broader adoption.";Foundational Competency - Core team members possess foundational AI skills, and structured upskilling programs are underway to prepare the broader workforce.;Advanced Operational Capability - Advanced AI practitioners are integrated into multiple roles, supported by continuous training that keeps pace with industry trends.;"Strategic Expert Leadership - AI expertise is a core competency company-wide; internal specialists lead R&D, mentor staff, and drive industry-leading innovation.";;;;;;;;;;;;;;;;
;Training Program;How often do employees receive AI training?;Choice;3 %;Never / None;Occasional webinars;Irregular workshops;Planned curriculums;Continuous learning;;;;;;;;;;;;;;;;
;Psychological Safety;"Is it ""okay"" to fail with an AI pilot project?";Slider;4 %;Failure is punished;Blame culture;Failure is tolerated;Learning from errors;Fail-fast encouraged;;;;;;;;;;;;;;;;
Data Readiness & Literacy;Data types;What types of business data do you actively collect? (Select all that apply);Checklist;4 %;Sales and transaction data;Customer interactions (emails, chats, calls);Website/app usage analytics;Customer feedback and reviews;Product data;Financial and operational metrics;Employee/HR data;Limited data collection (Exclusive option);;;;;;;;;;;;;
;Data Centralization;Do you currently use any of these technologies? (Select all that apply);Checklist;3 %;Internal (on-premise) servers;Cloud platforms (AWS, Azure, Google Cloud);CRM systems (Salesforce, HubSpot, etc.);ERP System;E-commerce platforms (Shopify, WooCommerce, etc.);Business intelligence tools (Tableau, Power BI, etc.);API integrations between systems;None of the above (Exclusive option);;;;;;;;;;;;;
