Company_ID,Company_Name*,Industry*,Website,Employee_Count,City,Cluster_Profile,How is AI prioritized in management meetings?,Does a documented AI strategy or roadmap exist?,How is AI funding and investment handled?,What is your goal regarding AI vs. competitors?,How do employees generally react to the topic of AI?,"To what extent are AI capabilities and technical literacy established across your workforce? E.g. expertise in machine learning and NLP, as well as general AI literacy for non-technical staff.",How often do employees receive AI training?,"Is it ""okay"" to fail with an AI pilot project?",What types of business data do you actively collect? (Select all that apply),Do you currently use any of these technologies? (Select all that apply),"Describe the ""cleanliness"" of your business data.",How comfortable is your team with data insights?,How rigorously does your organization validate the technical and regulatory feasibility of an AI use case before committing resources?,How many AI use cases are currently active?,Do you measure the financial impact of AI projects?,To what extent does AI address concrete bottlenecks in your core business operations rather than experimental topics?,Are core processes documented and repeatable?,"How structured is your approach to planning, implementing, and delivering AI-related projects?",How long to implement a new digital tool?,Is there a defined path to move AI idea to production?,"Do you have an internal ""AI Code of Conduct""?",How strictly is data handled according to the EU AI Act?,Who is responsible for AI outcomes and errors?,What disclosure requirements exist for external partners?,To what extent do you use Cloud infrastructure?,What types of AI development tools are currently available in your organization? (Select all that apply),How easily can you scale new software company-wide?,Why are you doing this AI assessment?,Which business challenge is your top priority? (Select all that apply),How is AI influencing your organization’s strategy?,Who is the primary driver of AI within your organization? (Select all that apply),Are you in charge of AI initiatives?,Which option best describes your position and decision authority? (Select all that apply)
320,Quantum SME,Hospitality,www.quantum-sme.de,1-50,Düsseldorf,1. The Traditionalist,Rare mention in meetings,None / No plan,No budget available,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,Website/app usage analytics,"Business intelligence tools (Tableau, Power BI, etc.), Cloud platforms (AWS, Azure, Google Cloud), CRM systems (Salesforce, HubSpot, etc.)",Messy / Siloed,Basic tool awareness,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,No tracking,"Some AI use cases touch core processes, but they are not focused on the most critical constraints.",Rough checklists,"High-Velocity Delivery – Our implementation engine is highly efficient; we can rapidly move from a ""Proof of Concept"" to a live tool with minimal friction and clear ROI tracking.",7 - 12 Months,No plan,Informal rules,High Risk / Unknown,No one responsible,Unknown,Fully On-Premise,"A combination of pre-built and custom AI tools, Cloud-based AI services (e.g., managed AI/ML platforms)",Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,Personalizing customer experiences,Reactive – We acknowledge the trend but only respond to external pressures on an ad-hoc basis.,IT / Technology Department,No,Executive / C-level
629,Iron Group,Finance,www.iron-group.de,251-500,Cologne,1. The Traditionalist,Not a topic / Ignored,None / No plan,No budget available,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,"Customer interactions (emails, chats, calls), Customer feedback and reviews, Sales and transaction data","E-commerce platforms (Shopify, WooCommerce, etc.)",Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,No tracking,"Some AI use cases touch core processes, but they are not focused on the most critical constraints.",Knowledge in heads,"Individual Initiative – Project delivery depends on the effort of specific individuals; while some projects succeed, we lack a repeatable ""playbook"" for the whole team.",> 1 Year,No plan,In progress / Draft,High Risk / Unknown,Dedicated AI Officer,Unknown,Fully On-Premise,"A combination of pre-built and custom AI tools, Not sure, Custom AI or machine learning development tools",Labor intensive,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Improving customer service efficiency, Streamlining document processing, Better data analysis and insights",Exploratory – We monitor trends and have initiated pilot projects to address specific needs.,"IT / Technology Department, No Clear Internal Driver, Executive Leadership / Board",Sometimes,"Senior Management, Product / Process Owner"
319,Skyline GmbH,Logistics,www.skyline-gmbh.de,51-250,Berlin,1. The Traditionalist,Not a topic / Ignored,None / No plan,No budget available,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,"Sales and transaction data, Customer feedback and reviews","CRM systems (Salesforce, HubSpot, etc.), None of the above (Exclusive option), Cloud platforms (AWS, Azure, Google Cloud)",Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Multiple live apps,No tracking,"Some AI use cases touch core processes, but they are not focused on the most critical constraints.",Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,No plan,Informal rules,High Risk / Unknown,Vague / individual assignments,Unknown,Fully On-Premise,A combination of pre-built and custom AI tools,Labor intensive,Resource Optimization – We want to identify where AI can reduce costs or automate repetitive manual tasks.,"Streamlining document processing, Better data analysis and insights, Automating repetitive tasks",Innovative – We leverage AI to redefine our business model and set industry standards.,IT / Technology Department,Yes,"Operational Staff / Domain Expert, Data / AI Specialist"
1016,Blue Harbor Logistics,Retail,www.blue-harbor-logistics.de,500+,Frankfurt,1. The Traditionalist,Not a topic / Ignored,None / No plan,No budget available,Proactive innovator,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,"Customer interactions (emails, chats, calls), Employee/HR data",Internal (on-premise) servers,Partially cleaned,Data-driven experts,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Theory / Brainstorm,No tracking,"Some AI use cases touch core processes, but they are not focused on the most critical constraints.",Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,3 - 6 Months,Automated deployment,Informal rules,High Risk / Unknown,Shared responsibility,Unknown,Fully On-Premise,"Not sure, A combination of pre-built and custom AI tools",Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Improving customer service efficiency, Better data analysis and insights",Strategic – AI is a key planning driver with a formal roadmap for systematic integration.,"Sales & Marketing, Executive Leadership / Board",No,Data / AI Specialist
241,Vantage Logistics,Hospitality,www.vantage-logistics.de,51-250,Cologne,1. The Traditionalist,Not a topic / Ignored,Rough ideas shared,No budget available,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,"Limited data collection (Exclusive option), Financial and operational metrics, Sales and transaction data","CRM systems (Salesforce, HubSpot, etc.)",Basic digital records,Struggling / No skill,"Reactive Assessment – We perform basic checks only after a project has started, often leading to delays or ""stuck"" projects when data or legal issues unexpectedly emerge.",Theory / Brainstorm,No tracking,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,Theoretical idea,Audited Governance,High Risk / Unknown,No one responsible,Defined by Partners,Modernized On-Prem,A combination of pre-built and custom AI tools,Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,Better data analysis and insights,Exploratory – We monitor trends and have initiated pilot projects to address specific needs.,"Data Science / Analytics Specialists, Operations & Supply Chain",No,"External Consultant / Advisor, Business Analyst / Strategy / Innovation role, Project / Program Manager"
217,Blue Harbor SME,Healthcare,www.blue-harbor-sme.de,51-250,Frankfurt,1. The Traditionalist,Not a topic / Ignored,None / No plan,No budget available,Proactive innovator,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Occasional webinars,Failure is punished,"Limited data collection (Exclusive option), Sales and transaction data, Website/app usage analytics",Internal (on-premise) servers,Messy / Siloed,Analytical mindsets,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Theory / Brainstorm,Cost tracking only,"Some AI use cases touch core processes, but they are not focused on the most critical constraints.",Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,Case-by-case choice,Informal rules,High Risk / Unknown,Clear Dept. lead,Unknown,Modernized On-Prem,Not sure,Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,Better data analysis and insights,Strategic – AI is a key planning driver with a formal roadmap for systematic integration.,Individual Employees / Early Adopters,Yes,"IT / Technology Management, Product / Process Owner"
88,Nexus Digital,Finance,www.nexus-digital.de,251-500,Frankfurt,1. The Traditionalist,Not a topic / Ignored,None / No plan,Case-by-case funding,Avoidance / Refusal,Skeptical / Passive,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,Employee/HR data,None of the above (Exclusive option),Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Theory / Brainstorm,No tracking,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,No plan,Informal rules,High Risk / Unknown,No one responsible,Unknown,Fully On-Premise,"Cloud-based AI services (e.g., managed AI/ML platforms), No AI development tools are currently available (Exclusive option), Custom AI or machine learning development tools",Labor intensive,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Reducing operational costs, Improving customer service efficiency",Reactive – We acknowledge the trend but only respond to external pressures on an ad-hoc basis.,No Clear Internal Driver,Sometimes,"IT / Technology Management, Data / AI Specialist"
196,Quantum GmbH,Hospitality,www.quantum-gmbh.de,1-50,Stuttgart,1. The Traditionalist,Rare mention in meetings,None / No plan,Case-by-case funding,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Occasional webinars,Failure is punished,Customer feedback and reviews,"Cloud platforms (AWS, Azure, Google Cloud), CRM systems (Salesforce, HubSpot, etc.)",Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,No tracking,AI is a strategic lever to remove or redefine core business bottlenecks and shapes how the business competes.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,No plan,Informal rules,High Risk / Unknown,No one responsible,Defined by Partners,Hybrid Cloud setup,"Pre-built AI tools or platforms (e.g., analytics, chatbots, automation tools)",Manual/Painful,Resource Optimization – We want to identify where AI can reduce costs or automate repetitive manual tasks.,Reducing operational costs,Exploratory – We monitor trends and have initiated pilot projects to address specific needs.,Sales & Marketing,No,Project / Program Manager
733,Vantage Solutions,Retail,www.vantage-solutions.de,51-250,Berlin,1. The Traditionalist,Not a topic / Ignored,None / No plan,No budget available,Late adopter,Skeptical / Passive,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Occasional webinars,Blame culture,Limited data collection (Exclusive option),"Cloud platforms (AWS, Azure, Google Cloud), E-commerce platforms (Shopify, WooCommerce, etc.)",Partially cleaned,Struggling / No skill,"Reactive Assessment – We perform basic checks only after a project has started, often leading to delays or ""stuck"" projects when data or legal issues unexpectedly emerge.",Not started,No tracking,"Some AI use cases touch core processes, but they are not focused on the most critical constraints.",Fully digital workflows,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,7 - 12 Months,No plan,In progress / Draft,Minimal compliance,No one responsible,Unknown,Fully On-Premise,A combination of pre-built and custom AI tools,Labor intensive,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,Reducing operational costs,Strategic – AI is a key planning driver with a formal roadmap for systematic integration.,Sales & Marketing,No,"Senior Management, Project / Program Manager"
1337,Skyline Group,Construction,www.skyline-group.de,51-250,Frankfurt,1. The Traditionalist,Core strategic pillar,Rough ideas shared,No budget available,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,"Customer interactions (emails, chats, calls), Sales and transaction data, Financial and operational metrics","Business intelligence tools (Tableau, Power BI, etc.)",High-quality/Auto-sync,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,No tracking,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,No plan,Informal rules,High Risk / Unknown,Vague / individual assignments,Unknown,Modernized On-Prem,"Cloud-based AI services (e.g., managed AI/ML platforms), A combination of pre-built and custom AI tools, Pre-built AI tools or platforms (e.g., analytics, chatbots, automation tools)",Labor intensive,Competitive Advantage – We are seeking to define a market-leading position through high-impact AI innovation.,"Enhancing search/recommendation capabilities, Reducing operational costs",Strategic – AI is a key planning driver with a formal roadmap for systematic integration.,Digital Transformation / Innovation Team,Yes,"Senior Management, Executive / C-level"
